"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","Partial Update Booking",""
"skipped","Sat Apr 27 09:18:02 IST 2024","Sat Apr 27 09:18:02 IST 2024","0","webkit","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"broken","Sat Apr 27 09:17:31 IST 2024","Sat Apr 27 09:18:04 IST 2024","32723","firefox","e2e.spec.js","","","","count the number of products",""
"skipped","Sat Apr 27 09:18:06 IST 2024","Sat Apr 27 09:18:06 IST 2024","1","chromium","e2e.spec.js","","","","Add to products into the cart",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","0","chromium","APITests.spec.js","","","","getBooking by ID",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","1","chromium","APITests.spec.js","","","","Partial Update Booking",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","getBookingIds by checkin checkout",""
"skipped","Sat Apr 27 09:18:04 IST 2024","Sat Apr 27 09:18:04 IST 2024","1","firefox","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"skipped","Mon Feb 26 10:42:00 IST 2024","Mon Feb 26 10:42:00 IST 2024","2","chromium","testdbconnection.spec.js","","","","Test MYSQL Database Connection with AWS RDS",""
"skipped","Sat Apr 27 09:18:02 IST 2024","Sat Apr 27 09:18:02 IST 2024","0","webkit","e2e.spec.js","","","","check the product available or not",""
"skipped","Mon Feb 26 10:42:32 IST 2024","Mon Feb 26 10:42:32 IST 2024","2","webkit","testdbconnection.spec.js","","","","Test MYSQL Database Connection with AWS RDS",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","Update Booking",""
"passed","Tue Feb 27 14:41:24 IST 2024","Tue Feb 27 14:41:24 IST 2024","74","firefox","excelManipulation.spec.js","","","","Read excel file contents",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","0","webkit","APITests.spec.js","","","","Delete Booking",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","Delete Booking",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","getBookingIds by filter name",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","getBooking by ID",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","0","chromium","APITests.spec.js","","","","getBookingIds by all IDs",""
"skipped","Tue Feb 27 14:41:24 IST 2024","Tue Feb 27 14:41:24 IST 2024","1","firefox","excelManipulation.spec.js","","","","Write excel file contents",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","1","chromium","APITests.spec.js","","","","Delete Booking",""
"failed","Mon Apr 22 17:52:32 IST 2024","Mon Apr 22 17:52:32 IST 2024","362","firefox","lambdatest.spec.js","","","","LambdaTest set up",""
"passed","Tue Apr 23 18:54:48 IST 2024","Tue Apr 23 18:55:06 IST 2024","18378","chromium","lambdatest.spec.js","","","","LambdaTest set up",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","getBookingIds by filter name",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","getBooking by ID",""
"passed","Tue Feb 27 14:41:38 IST 2024","Tue Feb 27 14:41:38 IST 2024","70","webkit","excelManipulation.spec.js","","","","Read excel file contents",""
"failed","Mon Apr 22 17:52:32 IST 2024","Mon Apr 22 17:52:32 IST 2024","351","webkit","lambdatest.spec.js","","","","LambdaTest set up",""
"skipped","Sat Apr 27 09:18:06 IST 2024","Sat Apr 27 09:18:06 IST 2024","1","chromium","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"failed","Tue Feb 27 14:41:21 IST 2024","Tue Feb 27 14:41:23 IST 2024","1266","firefox","APITests.spec.js","","","","Create Token",""
"skipped","Sat Apr 27 09:18:04 IST 2024","Sat Apr 27 09:18:04 IST 2024","1","firefox","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"skipped","Sat Apr 27 09:18:02 IST 2024","Sat Apr 27 09:18:02 IST 2024","1","webkit","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"failed","Tue Feb 27 14:41:35 IST 2024","Tue Feb 27 14:41:37 IST 2024","1581","webkit","APITests.spec.js","","","","Create Token",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","1","chromium","APITests.spec.js","","","","Update Booking",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","2","firefox","APITests.spec.js","","","","Update Booking",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","Partial Update Booking",""
"skipped","Tue Feb 27 14:41:38 IST 2024","Tue Feb 27 14:41:38 IST 2024","0","webkit","excelManipulation.spec.js","","","","Write excel file contents",""
"skipped","Sat Apr 27 09:18:06 IST 2024","Sat Apr 27 09:18:06 IST 2024","0","chromium","e2e.spec.js","","","","check the product available or not",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","0","chromium","APITests.spec.js","","","","Create Booking",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","1","chromium","APITests.spec.js","","","","getBookingIds by filter name",""
"failed","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:25 IST 2024","1144","chromium","APITests.spec.js","","","","Create Token",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","Create Booking",""
"skipped","Sat Apr 27 09:18:04 IST 2024","Sat Apr 27 09:18:04 IST 2024","1","firefox","e2e.spec.js","","","","Add to products into the cart",""
"skipped","Sat Apr 27 09:18:02 IST 2024","Sat Apr 27 09:18:02 IST 2024","0","webkit","e2e.spec.js","","","","Add to products into the cart",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","getBookingIds by all IDs",""
"skipped","Tue Feb 27 14:41:12 IST 2024","Tue Feb 27 14:41:12 IST 2024","3","chromium","excelManipulation.spec.js","","","","Write excel file contents",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","Create Booking",""
"skipped","Sat Apr 27 09:18:06 IST 2024","Sat Apr 27 09:18:06 IST 2024","0","chromium","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"broken","Sat Apr 27 09:17:31 IST 2024","Sat Apr 27 09:18:06 IST 2024","34655","chromium","e2e.spec.js","","","","count the number of products",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","getBookingIds by checkin checkout",""
"skipped","Mon Feb 26 10:42:16 IST 2024","Mon Feb 26 10:42:16 IST 2024","3","firefox","testdbconnection.spec.js","","","","Test MYSQL Database Connection with AWS RDS",""
"skipped","Sat Apr 27 09:18:04 IST 2024","Sat Apr 27 09:18:04 IST 2024","1","firefox","e2e.spec.js","","","","check the product available or not",""
"passed","Tue Feb 27 14:41:13 IST 2024","Tue Feb 27 14:41:14 IST 2024","328","chromium","excelManipulation.spec.js","","","","Read excel file contents",""
"broken","Sat Apr 27 09:17:31 IST 2024","Sat Apr 27 09:18:02 IST 2024","30831","webkit","e2e.spec.js","","","","count the number of products",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","getBookingIds by all IDs",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","1","chromium","APITests.spec.js","","","","getBookingIds by checkin checkout",""
